instance,agent,run,seed,cost,return,done,route
Random_15_nodes,VI_optimal,25,10066,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,Classic_DP_base,25,10066,226.0,-226.0,True,"[2, 7, 14, 10, 3, 12, 8, 4, 13, 6, 0, 9, 11, 5, 1, 2]"
Random_15_nodes,A2C,25,10066,376.2128448486328,-376.2128448486328,True,"[2, 11, 9, 12, 8, 4, 10, 0, 7, 13, 6, 3, 14, 1, 5, 2]"
Random_15_nodes,PointerNet,25,10066,543.0,-543.0,True,"[2, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 2]"
Random_15_nodes,Heuristic,25,10066,207.081787109375,-207.081787109375,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,26,10067,566.597354888916,-566.597354888916,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,Classic_DP_base,26,10067,566.597354888916,-566.597354888916,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,A2C,26,10067,352.5887756347656,-352.5887756347656,True,"[12, 10, 8, 11, 7, 3, 9, 0, 6, 13, 5, 2, 14, 1, 4, 12]"
Random_15_nodes,PointerNet,26,10067,610.0,-610.0,True,"[12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 12]"
Random_15_nodes,Heuristic,26,10067,207.93892192840576,-207.93892192840576,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,27,10068,567.1478042602539,-567.1478042602539,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,Classic_DP_base,27,10068,567.1478042602539,-567.1478042602539,True,"[12, 6, 14, 9, 2, 11, 7, 3, 13, 5, 0, 8, 10, 4, 1, 12]"
Random_15_nodes,A2C,27,10068,349.71797943115234,-349.71797943115234,True,"[12, 10, 8, 11, 7, 3, 9, 0, 6, 13, 5, 2, 14, 1, 4, 12]"
Random_15_nodes,PointerNet,27,10068,610.0,-610.0,True,"[12, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 12]"
Random_15_nodes,Heuristic,27,10068,206.37738704681396,-206.37738704681396,True,"[0, 6, 13, 4, 8, 12, 7, 11, 9, 14, 2, 5, 1, 10, 3, 0]"
Random_15_nodes,VI_optimal,28,10069,312.0,-312.0,True,"[4, 7, 14, 10, 2, 12, 8, 3, 13, 6, 0, 9, 11, 5, 1, 4]"
